TF,TCGA_E2_A10E_01A_21R_A10J_07,TCGA_D8_A1JB_01A_11R_A13Q_07,TCGA_AR_A5QN_01A_12R_A28M_07,TCGA_LL_A50Y_01A_11R_A266_07,TCGA_B6_A0I5_01A_11R_A034_07,TCGA_D8_A141_01A_11R_A115_07,TCGA_E2_A14Q_01A_11R_A12D_07,TCGA_B6_A0I8_01A_11R_A034_07,TCGA_AC_A3HN_01A_11R_A213_07,TCGA_A2_A04V_01A_21R_A034_07,TCGA_A2_A1FW_01A_11R_A13Q_07,TCGA_C8_A12U_01A_11R_A115_07,TCGA_EW_A1PC_01B_11R_A21T_07,TCGA_5T_A9QA_01A_11R_A41B_07,TCGA_AN_A0AJ_01A_11R_A00Z_07,TCGA_A2_A04R_01A_41R_A109_07,TCGA_AR_A0TV_01A_21R_A084_07,TCGA_A8_A09R_01A_11R_A00Z_07,TCGA_E2_A1L7_01A_11R_A144_07,TCGA_BH_A42T_01A_11R_A24H_07
NR3C1,-1969.2265629590747,-1725.6198062284673,-2034.024252761798,-2026.91900152934,-2142.1736983567216,-1954.8396560846484,-2030.6832395670986,-2006.3599510982363,-1968.944945266431,-2033.9947701950443,-1734.1861728345334,-1955.264273014031,-1987.058485795011,-1921.8076626981172,-1982.9188252197525,-1968.7316705894352,-2057.3383011505393,-2216.712595525233,-2093.2648322825535,-1818.8491122945052
NR5A2,1023.7926320224869,729.1442055759928,1375.4131351111237,-93.56629799114734,1042.9015904189096,1276.5025470979529,1411.2866371308357,1477.7983735992248,1492.1058933633346,1389.534491806876,1641.0984447595677,1343.8846489651437,1462.225818715316,1270.114919860416,1307.8408239534647,1449.2067170660628,1524.0278472354016,1163.1623272929228,1376.985452470176,1047.0944959812314
ONECUT2,-2280.8215836843015,-1850.0393102820124,-2630.9110025308655,-1879.8397572288807,-2391.0245876080253,-2621.9907406349566,-2687.947021234961,-2735.9066027553395,-2697.0686267289775,-2635.6436505670868,-2490.8181396388,-2647.890045024536,-2794.3138315534807,-2482.3869188619688,-2531.0943639700013,-2666.6308830297207,-2730.541279593102,-2659.322195303675,-2712.581969065899,-2188.3246072688894
OTX1,-1845.367002702536,-1470.909317681579,-2082.93191091417,-1333.68560364865,-1866.6864354509764,-1927.0569289917335,-2047.3698471003102,-2054.22103655653,-2006.2543658390798,-2024.5506685378627,-2041.3247687964895,-2165.9729066083873,-2176.4792004001506,-1750.5530349597032,-1902.5237045355243,-2108.6632497707355,-2035.1713811122481,-1997.2334740947001,-2024.0871624920371,-1750.8559532409135
PATZ1,6651.507051227606,5601.688096261886,7195.983556432217,6103.90292792269,7047.675728289684,6694.864355080045,7204.2539378861375,7239.999221848433,7148.555558066023,7145.685667014678,6307.748235338864,7326.463164925105,7481.066397085363,6641.198948513274,6863.610853421833,7215.552809246552,7240.68522444477,7169.775810258586,7404.5732805490015,6177.035466776891
PAX2,-1745.0201815771209,-1540.8461248104404,-1854.7524468956515,-1532.8283001938546,-1742.6105077485497,-1787.0817309512133,-1849.1936866357782,-1850.1647175158735,-1848.054979855797,-1808.1480178380684,-1515.3095502590288,-1921.393512920062,-2165.5216188164572,-1574.237354626779,-1700.6082517936575,-1945.78672900973,-1829.1617986765773,-1800.3616226016359,-1847.959416333922,-1820.3075002599385
PAX6,-1700.5734232525606,-1060.22198232823,-1994.2305120568026,-1393.285396441936,-1885.637297448083,-1547.2871791206883,-2006.2112981025039,-2098.9004224287237,-1877.7147498757038,-1998.2291164630626,-1853.7744924692433,-1938.2966494226464,-2155.4997719628864,-1740.1084801830257,-1899.9291004690244,-2010.4115639189208,-2100.857314579066,-1857.133630411873,-2082.0408041469946,-1553.2420647945448
PITX1,-1478.9456981592393,-1192.928362806304,-1656.1243071504791,-1158.3656863729007,-1502.0605482320184,-1496.607096206657,-1656.4514448741998,-1709.66213877932,-1636.6493833942166,-1625.1971708263839,-1736.8576538435345,-1559.7171608151905,-1628.7393722704455,-1451.6231838049148,-1526.444902654279,-1674.0066767898268,-1689.0578514368347,-1669.397465064935,-1653.3377877845185,-1383.2742206739777
PITX3,-1444.2852208718105,-1106.031629184954,-1696.2560820928318,-1068.9530725533934,-1537.0861668290493,-1566.9358836197314,-1705.3282164046161,-1776.7037798403267,-1687.0715238234134,-1671.4668121322497,-1819.2903789364138,-1638.8502835592328,-1774.6564290993058,-1395.004462921299,-1557.396438696505,-1727.501961943312,-1751.8092564715193,-1671.757553517829,-1707.4753734410363,-1388.63139849601
PLAGL1,4136.480804216518,3531.583856854544,4697.089973431459,3397.5906436540727,4512.508577270978,4521.057780160161,4641.759031921961,4601.918553925608,4853.324163184421,4559.631849524688,4103.659302159313,4988.7009960609075,4540.7019726895505,4167.740635380314,4241.433231507065,4590.740461376949,4610.313581327457,4774.403463427351,4826.055359681235,3793.558082432517
